y/delta, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
3.739837398e-01,2.456862162e+00,9.871182062e-01,1.432646509e+00,-7.432830350e-01,4.426896726e-03,5.412421522e-03
3.780487805e-01,2.436758012e+00,9.803954369e-01,1.421929648e+00,-7.408205574e-01,3.525856062e-03,5.482854916e-03
3.821138211e-01,2.417280670e+00,9.735486164e-01,1.411133736e+00,-7.384451264e-01,2.748409549e-03,5.521199183e-03
3.861788618e-01,2.398349087e+00,9.665911821e-01,1.400273081e+00,-7.361187709e-01,2.136230967e-03,5.530220460e-03
3.902439024e-01,2.379882212e+00,9.595365714e-01,1.389361988e+00,-7.338035196e-01,1.716772746e-03,5.515488857e-03
3.943089431e-01,2.361798998e+00,9.523982217e-01,1.378414763e+00,-7.314614015e-01,1.482965973e-03,5.486649248e-03
3.983739837e-01,2.344018395e+00,9.451895703e-01,1.367445713e+00,-7.290544455e-01,1.386339759e-03,5.458220740e-03
4.024390244e-01,2.326459354e+00,9.379240547e-01,1.356468841e+00,-7.265446804e-01,1.379418218e-03,5.444503182e-03
4.065040650e-01,2.309040826e+00,9.306151123e-01,1.345489185e+00,-7.238941351e-01,1.435691834e-03,5.456938834e-03
4.105691057e-01,2.291681761e+00,9.232761805e-01,1.334501564e+00,-7.210648385e-01,1.535289953e-03,5.505379962e-03
4.146341463e-01,2.274301111e+00,9.159206967e-01,1.323500235e+00,-7.180188194e-01,1.675775438e-03,5.588895361e-03
4.186991870e-01,2.256817826e+00,9.085620982e-01,1.312479458e+00,-7.147181067e-01,1.869932520e-03,5.697144855e-03
4.227642276e-01,2.239150858e+00,9.012138226e-01,1.301433492e+00,-7.111247292e-01,2.134052763e-03,5.818920014e-03
4.268292683e-01,2.221219156e+00,8.938893071e-01,1.290356595e+00,-7.072007159e-01,2.494746767e-03,5.940315909e-03
4.308943089e-01,2.202941673e+00,8.866019893e-01,1.279243028e+00,-7.029080956e-01,2.975289305e-03,6.048473595e-03
4.349593496e-01,2.184254629e+00,8.793653064e-01,1.268087048e+00,-6.982088972e-01,3.570247571e-03,6.138853930e-03
4.390243902e-01,2.165174392e+00,8.721926959e-01,1.256882915e+00,-6.930651496e-01,4.252328904e-03,6.213235664e-03
