# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y+,             \bar{U}/utau
0.56425289E+03, 2.12495020E+01
0.56654660E+03, 2.12520600E+01
0.56884031E+03, 2.12544510E+01
0.57113402E+03, 2.12566180E+01
0.57342773E+03, 2.12584990E+01
0.57572145E+03, 2.12600500E+01
0.57801516E+03, 2.12612530E+01
0.58030887E+03, 2.12620950E+01
0.58260258E+03, 2.12625950E+01
0.58489629E+03, 2.12628570E+01
0.58719000E+03, 2.12630000E+01
