# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y/delta, \bar{U}/utau, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
 3.75000000E-01,  1.86748370E+01,  2.25244380E+00,  8.59428750E-01,  1.18217980E+00, -5.98624430E-01,  3.34954110E-03,  5.49364760E-03,
 3.78906248E-01,  1.87066560E+01,  2.23746720E+00,  8.55619500E-01,  1.17452290E+00, -5.94941230E-01,  2.63061130E-03,  5.52468860E-03,
 3.82812497E-01,  1.87382960E+01,  2.22236780E+00,  8.51786580E-01,  1.16689440E+00, -5.91254270E-01,  2.06905590E-03,  5.52948350E-03,
 3.86718745E-01,  1.87696290E+01,  2.20722250E+00,  8.47922990E-01,  1.15931810E+00, -5.87562860E-01,  1.68746440E-03,  5.51318960E-03,
 3.90624994E-01,  1.88006220E+01,  2.19207500E+00,  8.44017930E-01,  1.15181850E+00, -5.83867500E-01,  1.47464300E-03,  5.48494390E-03,
 3.94531242E-01,  1.88313310E+01,  2.17693640E+00,  8.40056810E-01,  1.14442060E+00, -5.80170010E-01,  1.38563510E-03,  5.45786050E-03,
 3.98437507E-01,  1.88617990E+01,  2.16182340E+00,  8.36028780E-01,  1.13714100E+00, -5.76473680E-01,  1.37876870E-03,  5.44457040E-03,
 4.02343756E-01,  1.88920010E+01,  2.14678260E+00,  8.31938060E-01,  1.12996230E+00, -5.72787510E-01,  1.43076930E-03,  5.45516590E-03,
 4.06250004E-01,  1.89218950E+01,  2.13186450E+00,  8.27792630E-01,  1.12285970E+00, -5.69121400E-01,  1.52344370E-03,  5.49873590E-03,
 4.10156253E-01,  1.89515000E+01,  2.11705180E+00,  8.23602540E-01,  1.11582390E+00, -5.65474940E-01,  1.65308940E-03,  5.57540720E-03,
 4.14062501E-01,  1.89808930E+01,  2.10225950E+00,  8.19379970E-01,  1.10886150E+00, -5.61837380E-01,  1.83050970E-03,  5.67633520E-03,
 4.17968749E-01,  1.90101180E+01,  2.08741680E+00,  8.15136180E-01,  1.10197950E+00, -5.58198670E-01,  2.06907380E-03,  5.79179710E-03,
 4.21874998E-01,  1.90390550E+01,  2.07253040E+00,  8.10877930E-01,  1.09518390E+00, -5.54553980E-01,  2.39081620E-03,  5.90988660E-03,
 4.25781246E-01,  1.90675440E+01,  2.05762840E+00,  8.06610650E-01,  1.08848010E+00, -5.50899950E-01,  2.81965570E-03,  6.01824300E-03,
 4.29687495E-01,  1.90955530E+01,  2.04272060E+00,  8.02335090E-01,  1.08186570E+00, -5.47233310E-01,  3.35935170E-03,  6.11034870E-03,
 4.33593743E-01,  1.91232220E+01,  2.02779370E+00,  7.98046140E-01,  1.07532790E+00, -5.43550930E-01,  3.98798150E-03,  6.18713060E-03,
 4.37500009E-01,  1.91506820E+01,  2.01283200E+00,  7.93738860E-01,  1.06885110E+00, -5.39850680E-01,  4.68099590E-03,  6.25038780E-03,
 4.41406257E-01,  1.91779610E+01,  1.99781370E+00,  7.89412110E-01,  1.06240540E+00, -5.36137210E-01,  5.40732300E-03,  6.30456450E-03,
 4.45312505E-01,  1.92050380E+01,  1.98271450E+00,  7.85066340E-01,  1.05595500E+00, -5.32417980E-01,  6.13325290E-03,  6.35519040E-03,
 4.49218754E-01,  1.92318960E+01,  1.96753470E+00,  7.80705330E-01,  1.04947760E+00, -5.28698860E-01,  6.83710830E-03,  6.40540710E-03,
 4.53125002E-01,  1.92585150E+01,  1.95232600E+00,  7.76339780E-01,  1.04297990E+00, -5.24982450E-01,  7.52236090E-03,  6.45336030E-03,
 4.57031251E-01,  1.92848780E+01,  1.93714310E+00,  7.71980580E-01,  1.03647100E+00, -5.21270520E-01,  8.19524530E-03,  6.49682940E-03,
 4.60937499E-01,  1.93109930E+01,  1.92199380E+00,  7.67628540E-01,  1.02994460E+00, -5.17559090E-01,  8.85626070E-03,  6.53742500E-03,
 4.64843747E-01,  1.93368930E+01,  1.90685000E+00,  7.63276790E-01,  1.02338260E+00, -5.13839860E-01,  9.50153130E-03,  6.57968000E-03,
 4.68749996E-01,  1.93626010E+01,  1.89168910E+00,  7.58919020E-01,  1.01677140E+00, -5.10106800E-01,  1.01274540E-02,  6.62731820E-03,
 4.72656244E-01,  1.93881070E+01,  1.87651850E+00,  7.54552350E-01,  1.01011880E+00, -5.06365050E-01,  1.07321720E-02,  6.68004690E-03,
 4.76562493E-01,  1.94133920E+01,  1.86135380E+00,  7.50174900E-01,  1.00343870E+00, -5.02622850E-01,  1.13143580E-02,  6.73640770E-03,
 4.80468758E-01,  1.94384520E+01,  1.84621170E+00,  7.45787200E-01,  9.96745170E-01, -4.98885470E-01,  1.18755220E-02,  6.79297920E-03,
 4.84375006E-01,  1.94633030E+01,  1.83110970E+00,  7.41393930E-01,  9.90052350E-01, -4.95153010E-01,  1.24220730E-02,  6.84295280E-03,
